Alimento,Nombre en Inglés,Energía calculada,Proteína,Grasa total,Carbohidratos,Fibra,AGS,AGM,AGPI,Colesterol,Calcio,Fósforo,Hierro,Potasio,Sodio,Zinc,Vitamina C,Vitamina A,Folatos,Vitamina B12,Tipo
"Arveja, grano seco, cocida, sin sal","Peas, mature seeds, cooked, with salt",121.27,8.34,0.39,21.1,8.3,0.05,0.08,0.17,0.0,14.0,99.0,1.29,362.0,2.0,1.0,0.0,0.0,65.0,0.0,granos
"Arveja, grano seco, crudo","Peas, mature seeds, raw",350.12,24.55,1.16,60.37,25.5,0.16,0.24,0.5,0.0,55.0,366.0,4.43,981.0,15.0,3.01,2.0,7.0,274.0,0.0,granos
"Brotes de soya, frescos, crudos","Bean sprouts, soy, fresh, raw",150.94,13.09,6.7,9.57,1.1,0.93,1.52,3.78,0.0,67.0,164.0,2.1,484.0,14.0,1.17,15.0,1.0,172.0,0.0,granos
"Chocho, cocido, con sal","Lupine, mature seed, cooked, with salt",128.08,15.57,2.92,9.88,2.8,0.35,1.12,0.73,0.0,51.0,128.0,1.2,245.0,4.0,1.35,1.1,0.0,59.0,0.0,granos
"Chocho, cocido, sin sal","Lupine, mature seed, cooked, without salt",128.08,15.57,2.92,9.88,2.8,0.35,1.18,0.73,0.0,51.0,128.0,1.2,245.0,4.0,1.38,1.1,0.0,59.0,0.0,granos
"Chocho, grano seco, crudo","Lupins, mature seeds,raw",393.82,36.17,9.74,40.37,18.9,1.16,3.94,2.44,0.0,176.0,440.0,4.36,1013.0,15.0,4.75,4.8,0.0,355.0,0.0,granos
"Fréjol de árbol, gandul, grano seco, crudo","Beans, great northern, mature seeds, raw",347.18,21.86,1.14,62.37,20.2,0.36,0.05,0.48,0.0,175.0,447.0,5.47,1387.0,14.0,2.31,5.3,0.0,482.0,0.0,granos
"Fréjol, blanco, grano seco, cocido, sin sal","Beans, white, mature seeds, cooked, with salt",142.43,9.73,0.35,25.09,6.3,0.09,0.03,0.15,0.0,90.0,113.0,3.7,561.0,6.0,1.38,0.0,0.0,81.0,0.0,granos
"Fréjol, blanco, grano seco, crudo","Beans, white, mature seeds, raw",342.17,23.36,0.85,60.27,15.2,0.22,0.07,0.36,0.0,240.0,301.0,10.44,1795.0,16.0,3.67,0.0,0.0,388.0,0.0,granos
"Fréjol, canario, cocido","Beans canary, cooked",87.3,5.2,0.5,15.5,10.4,,,,,45.0,85.0,1.6,,,1.06,0.0,0.0,,,granos
"Fréjol, canario, crudo","Beans canary, raw",346.9,21.9,2.1,60.1,25.1,,,,,138.0,351.0,6.6,1212.0,43.0,2.83,6.3,0.0,,,granos
"Fréjol, canario, serranito","Beans, canarian, serranito",346.2,19.2,1.8,63.3,24.9,,,,,149.0,362.0,4.0,1212.0,43.0,2.79,4.5,0.0,,,granos
"Fréjol, caraotas","Beans caraotas, raw",337.4,21.2,1.4,60.0,24.9,,,,,129.0,413.0,9.9,,,2.79,4.5,0.0,,,granos
"Fréjol, negro, grano seco, cocido, sin sal","Beans, black, mature seeds, cooked, with salt",135.14,8.86,0.54,23.71,8.7,0.14,0.05,0.23,0.0,27.0,140.0,2.1,355.0,1.0,1.12,0.0,0.0,149.0,0.0,granos
"Fréjol, negro, grano seco, crudo","Beans, black, mature seeds, raw",351.6,22.7,1.6,61.6,18.37,0.29,0.1,0.27,0.0,134.0,415.0,7.1,1464.0,8.0,2.55,1.0,0.0,,0.0,granos
"Fréjol, negro, grano seco, crudo","Beans, black, mature seeds, raw",348.62,21.6,1.42,62.36,15.5,0.37,0.12,0.61,0.0,123.0,352.0,5.02,1483.0,5.0,3.65,0.0,0.0,444.0,0.0,granos
"Fréjol, pasta de Fréjol, Ole","Kidney beans, paste, dip, Ole",178.27,4.35,4.35,30.43,,0.0,2.17,0.0,,,,,347.83,347.83,,,0.0,,,granos
"Fréjol, rojo, grano seco, toda variedad, cocido, sin sal","Beans, kidney, all types, mature seeds, cooked, with salt",130.38,8.67,0.5,22.8,7.4,0.07,0.04,0.28,0.0,28.0,142.0,2.94,403.0,2.0,1.07,1.0,0.0,130.0,0.0,granos
"Fréjol, rojo, grano seco, toda variedad, crudo","Beans, kidney, all types, mature seeds, raw",344.82,22.53,1.06,61.29,15.2,0.15,0.08,0.59,0.0,83.0,406.0,6.69,1359.0,12.0,2.79,5.0,0.0,394.0,0.0,granos
"Garbanzo, grano seco, cocido, sin sal","Chickpeas, mature seeds, cooked, with salt",168.43,8.86,2.59,27.42,7.6,0.27,0.58,1.16,0.0,49.0,168.0,2.89,291.0,7.0,153.0,1.3,1.0,172.0,0.0,granos
"Garbanzo, grano seco, crudo","Chickpeas, mature seeds, raw",374.16,19.3,6.04,60.65,17.4,0.63,1.36,2.69,0.0,105.0,366.0,6.24,875.0,24.0,3.43,4.0,3.0,557.0,0.0,granos
"Garbanzo, pasta de garbanzo, hummus con pimiento, Ole","Chickpea, chickpea paste, hummus with pepper, Ole",221.72,4.35,13.04,21.74,,0.0,6.52,2.17,,,,,608.7,608.7,,,4.35,,,granos
"Haba seca, crudo","Broadbeans, fava beans, mature seeds, raw",351.41,26.12,1.53,58.29,25.0,0.25,0.3,0.63,0.0,103.0,421.0,6.7,1062.0,13.0,3.14,1.0,3.0,423.0,0.0,granos
"Haba seca, sin cáscara, cocida","Broadbeans, fava beans, peeled, cooked",107.7,7.3,0.5,18.5,5.4,,,,,64.0,53.0,0.9,,,1.01,0.9,1.0,,,granos
"Haba seca, tostada","Broadbeans, fava beans, mature seeds, toasted",376.8,26.4,2.0,63.3,0.0,,,,,60.0,479.0,6.8,,,,2.0,,,,granos
Harina de arveja seca,"Chickpeas, flour",360.5,23.4,2.1,62.0,,,,,,81.0,297.0,6.0,,,,1.0,,,,granos
Harina de garbanzo,"Chickpea flour, besan",381.05,22.39,6.69,57.82,10.8,0.69,1.5,2.98,0.0,45.0,318.0,4.86,846.0,64.0,2.81,0.0,2.0,437.0,0.0,granos
Harina de haba seca,"Broadbeans, flour",359.9,27.6,1.9,58.1,,0.22,0.26,0.5,0.0,78.0,,18.2,1062.0,13.0,3.14,0.0,5.0,,0.0,granos
"Harina de soya, baja en grasa","Soy, flour, low fat",398.34,46.53,6.7,37.98,10.2,0.97,1.48,3.78,0.0,188.0,593.0,5.99,2570.0,18.0,1.18,0.0,2.0,410.0,0.0,granos
"Lenteja, germinada, cocida, sin sal","Lentils, sprouted, cooked, without salt",124.25,8.8,0.45,21.25,,0.05,0.1,0.2,0.0,14.0,153.0,3.1,284.0,10.0,1.6,12.6,2.0,67.0,0.0,granos
"Lenteja, germinada, cruda","Lentils, sprouted, raw",129.35,8.96,0.55,22.14,,0.06,0.1,0.22,0.0,25.0,173.0,3.21,322.0,11.0,1.51,16.5,2.0,100.0,0.0,granos
"Lenteja, grano seco, cocido, sin sal","Lentils, mature seeds, cooked, with salt",120.02,9.02,0.38,20.13,7.9,0.05,0.06,0.18,0.0,19.0,180.0,3.33,369.0,2.0,1.27,1.5,0.0,181.0,0.0,granos
"Lenteja, grano seco, crudo","Lentils, mature seeds, raw",353.06,25.8,1.06,60.08,30.5,0.16,0.19,0.52,0.0,56.0,451.0,7.54,955.0,6.0,4.78,4.0,2.0,479.0,0.0,granos
"Soya, bebida de soya","Soy, soy beverage",54.92,4.48,1.92,4.93,1.3,0.23,0.38,0.77,0.0,38.0,55.0,1.1,124.0,55.0,0.44,0.0,31.0,16.0,1.22,granos
"Soya, grano seco, crudo","Soy, beans, mature seeds, raw",446.06,36.49,19.94,30.16,9.3,2.88,4.4,11.26,0.0,277.0,704.0,15.7,1797.0,2.0,4.89,6.0,1.0,3.75,0.0,granos
"Soya, leche en polvo","Soy, milk powder",448.6,28.3,17.8,43.8,,,,,,597.0,717.0,10.7,,,,53.0,10.0,,,granos
"Borrego, corazón, crudo","Lamb, heart, raw",117.84,16.47,5.68,0.21,0.0,2.25,1.6,0.55,135.0,6.0,175.0,4.6,316.0,89.0,1.87,5.0,0.0,2.0,10.25,carnes y huevos
"Borrego, pierna, sin hueso, crudo","Lamb, leg, boneless, raw",225.27,17.91,17.07,0.0,0.0,7.43,7.0,1.35,69.0,9.0,170.0,1.66,249.0,56.0,3.32,0.0,0.0,19.0,2.5,carnes y huevos
"Borrego, riñón, crudo","Lamb, kidneys, raw",92.79,15.74,2.95,0.82,0.0,1.0,0.63,0.55,337.0,13.0,246.0,6.38,277.0,156.0,2.24,11.0,95.0,28.0,52.41,carnes y huevos
"Carnero, cabeza, cocido","Ram, head, cooked",107.2,14.2,5.6,0.0,,3.0,2.0,0.01,65.0,17.0,130.0,2.1,295.0,75.0,,0.0,,,,carnes y huevos
"Carnero, carne magra con hueso","Lamb, lean meat with bone",306.48,15.87,27.0,0.0,0.0,13.7,10.35,1.16,80.0,15.0,153.0,1.43,120.0,42.0,2.19,0.0,0.0,1.0,2.22,carnes y huevos
"Carnero, carne magra sin hueso","Lamb, lean boneless meat",132.68,20.48,5.64,0.0,,2.31,2.29,0.27,63.0,10.0,195.0,1.75,328.0,80.0,3.5,,,,3.01,carnes y huevos
"Carnero, carne, crudo","Ram, meat, raw",304.95,16.32,26.63,0.0,0.0,11.76,10.94,2.08,74.0,15.0,152.0,1.61,214.0,56.0,2.53,0.0,0.0,17.0,2.04,carnes y huevos
"Carnero, hígado, crudo","Ram, liver, raw",122.6,20.3,4.2,0.9,0.0,1.94,1.05,0.75,371.0,14.0,287.0,6.6,313.0,70.0,4.66,18.0,7391.0,230.0,90.05,carnes y huevos
"Carnero, patas, cocido","Ram, paws, cooked",102.9,21.0,2.1,0.0,,,,,,52.0,26.0,1.0,,,,0.0,,,,carnes y huevos
"Cerdo (fritada), grasa y carne, frito, comercialmente preparado","Pork (Ecuadorian fried pork), fat and meat, fried, commercially prepared",380.6,29.8,26.2,6.4,,,,,,23.0,180.0,1.71,477.0,1330.0,3.05,,,,,carnes y huevos
"Cerdo, cabeza, cocido","Pork, head, cooked",228.49,26.14,13.77,0.0,0.0,4.85,5.93,1.51,87.0,20.0,219.0,1.1,338.0,379.0,3.04,0.1,2.0,2.0,0.69,carnes y huevos
"Cerdo, carne de costilla, cocido","Pork, ribs steak, cooked",363.26,24.26,29.58,0.0,0.0,10.99,13.46,2.32,118.0,45.0,195.0,1.38,315.0,101.0,3.37,0.0,3.0,3.0,0.64,carnes y huevos
"Cerdo, carne de costilla, crudo","Pork, ribs steak, raw",276.7,16.12,23.58,0.0,0.0,8.73,10.65,1.96,81.0,32.0,143.0,0.91,233.0,75.0,2.31,0.0,3.0,4.0,0.82,carnes y huevos
"Cerdo, carne deshidratada, picante, ahumada, Ferbola","Pork meet, dehydrated, spicy, smoked, Ferbola",378.57,78.57,7.14,0.0,,3.57,3.57,0.0,103.57,,,,,1071.43,,,,,,carnes y huevos
"Cerdo, carne magra, (lomo, espaldilla y costilla), cocida","Pork, lean meat, (leg, loin and ribs), cooked",201.15,28.62,9.63,0.0,0.0,3.51,4.32,0.76,81.0,18.0,249.0,1.09,425.0,58.0,2.53,1.0,2.0,1.0,0.73,carnes y huevos
"Cerdo, carne magra, (lomo, espaldilla y costilla), cruda","Pork, lean meat, (leg, loin and ribs), raw",136.66,21.43,5.66,0.0,0.0,1.95,2.56,0.61,59.0,17.0,211.0,0.84,389.0,52.0,1.84,1.0,2.0,5.0,0.63,carnes y huevos
"Cerdo, carne semi-magra, cocida","Pork, semi-lean meat, cooked",264.9,27.57,17.18,0.0,0.0,6.22,7.64,1.45,21.0,25.0,232.0,1.1,354.0,62.0,2.9,0.0,2.0,6.0,0.77,carnes y huevos
"Cerdo, carne semi-magra, cruda","Pork, semi-lean meat, raw",205.69,19.9,14.01,0.0,0.0,4.86,6.25,1.5,60.0,5.0,193.0,0.71,384.0,42.0,1.57,0.0,2.0,6.0,0.5,carnes y huevos
"Cerdo, carne, pierna o lomo, sin grasa, cruda","Pork, meat, leg or tenderloin, without fat, raw",239.55,17.43,18.87,0.0,0.0,6.54,8.38,2.01,73.0,5.0,199.0,0.85,315.0,47.0,1.93,1.0,2.0,7.0,0.63,carnes y huevos
"Cerdo, carne, semigrasosa, cruda","Pork, semi-greasy meat, raw",210.35,18.95,14.95,0.0,0.0,5.28,6.63,1.55,67.0,19.0,200.0,0.86,335.0,55.0,2.01,0.5,2.0,5.0,0.66,carnes y huevos
"Cerdo, cecina, carne seca, curada","Pork, dried meat, salty",210.35,18.95,14.95,0.0,0.0,5.28,6.63,1.55,67.0,19.0,200.0,0.86,335.0,55.0,2.01,0.5,2.0,5.0,0.66,carnes y huevos
"Cerdo, chicharrón, (con grasa), frito","Pork, chicharrón, with fat, fried",655.3,20.8,56.1,16.8,,14.32,13.7,3.61,74.0,61.0,149.0,2.8,,,,0.0,,,,carnes y huevos
"Cerdo, chuleta, cruda","Pork, chop, raw",119.65,21.88,3.57,0.0,0.0,1.12,,,69.0,18.0,,0.64,,58.0,,0.0,0.0,,,carnes y huevos
"Cerdo, cola o rabo, cocido","Pork, tail, cooked",390.2,17.0,35.8,0.0,0.0,12.45,16.89,3.94,129.0,14.0,47.0,0.79,157.0,25.0,1.64,0.0,0.0,4.0,0.55,carnes y huevos
"Cerdo, corazón, crudo","Pork, heart, raw",113.64,17.27,4.36,1.33,0.0,1.16,1.02,1.12,131.0,5.0,169.0,4.68,294.0,56.0,2.8,5.0,8.0,4.0,3.79,carnes y huevos
"Cerdo, cuero, cocinado, comercialmente preparado","Pork, skin, boiled, commercially prepared",213.1,10.6,18.3,1.5,,,,,,3.0,26.0,0.08,112.0,467.0,0.19,,,,,carnes y huevos
"Cerdo, estómago, crudo","Pork, stomach, raw",158.66,16.85,10.14,0.0,0.0,4.03,3.59,0.89,223.0,11.0,130.0,1.01,140.0,75.0,1.85,0.0,0.0,3.0,0.3,carnes y huevos
"Cerdo, hígado, crudo","Pork, liver, raw",128.29,21.39,3.65,2.47,0.0,1.17,0.52,0.87,301.0,9.0,288.0,23.3,273.0,87.0,5.76,25.0,6502.0,212.0,26.0,carnes y huevos
"Cerdo, lengua, cruda","Pork, tongue, raw",220.0,16.3,17.2,0.0,0.0,5.96,8.13,1.78,101.0,16.0,193.0,3.35,243.0,110.0,3.01,4.0,0.0,4.0,2.84,carnes y huevos
"Cerdo, patas, crudas","Pork, paw, raw",205.95,23.16,12.59,0.0,0.0,3.57,6.29,1.09,88.0,70.0,75.0,0.58,63.0,132.0,0.76,0.0,0.0,10.0,0.52,carnes y huevos
"Cerdo, queso de chancho","Headcheese, pork",153.42,13.83,10.9,0.0,0.0,3.4,5.6,1.13,69.0,16.0,56.0,1.5,31.0,941.0,0.97,0.0,0.0,2.0,1.05,carnes y huevos
"Cerdo, riñones, crudos","Pork, kidneys, raw",95.09,16.46,3.25,0.0,0.0,1.04,1.07,0.26,319.0,9.0,204.0,4.89,229.0,121.0,2.75,13.0,59.0,42.0,8.49,carnes y huevos
"Cerdo, tocino, asado","Bacon, pork, broil",529.9,37.04,41.78,1.43,0.0,13.74,18.52,4.75,110.0,11.0,533.0,1.44,565.0,2310.0,3.5,0.0,11.0,2.0,1.23,carnes y huevos
"Chontacuro, gusano mayón, crudo","Warm, gusano maguey, raw",251.0,9.0,23.0,2.0,,11.0,11.0,1.0,33.0,,,,,50.0,,,,,,carnes y huevos
"Chorizo, de res y cerdo, crudo","Sausage, pork and beef, raw",181.7,16.6,11.7,2.5,,,,,,40.0,144.0,4.7,,,,0.0,,,,carnes y huevos
"Codorniz, carne, cocida","Quail, meat, cooked",198.4,21.1,8.4,9.6,,,,,,78.0,129.0,4.6,,,,0.0,4.0,,,carnes y huevos
"Conejo, de crianza, carne, cocida","Rabbit, domesticated, meat, cooked",197.21,30.38,8.41,0.0,0.0,2.51,2.27,1.63,86.0,20.0,226.0,2.37,300.0,37.0,2.37,0.0,0.0,9.0,6.51,carnes y huevos
"Conejo, de crianza, carne, cruda","Rabbit, domesticated, meat, raw",130.15,20.05,5.55,0.0,0.0,1.66,1.5,1.08,57.0,13.0,213.0,1.57,330.0,41.0,1.57,0.0,0.0,8.0,7.16,carnes y huevos
"Cordero, pierna, carne magra, con hueso","Lamb, leg, lean meat, with bone",125.86,21.43,4.46,0.0,0.0,1.34,0.0,0.0,67.0,11.0,,1.65,348.0,62.0,,0.0,0.0,,,carnes y huevos
"Cordero, pierna, con hueso, cocida","Lamb, leg, with bone, cooked",182.86,28.3,7.74,0.0,0.0,2.76,3.39,0.51,89.0,8.0,206.0,2.12,338.0,68.0,4.94,0.0,0.0,23.0,2.64,carnes y huevos
"Cordero, pierna, sin hueso, cruda","Lamb, leg, boneless, raw",122.83,20.56,4.51,0.0,0.0,1.61,1.81,0.41,64.0,6.0,193.0,1.82,289.0,62.0,3.84,0.0,0.0,23.0,2.7,carnes y huevos
"Cuy, asado, con sal, comercialmente preparado","Guinea pig, meat and skin, grilled, commercially prepared",271.6,25.3,12.8,13.8,,,,,,8.0,134.0,5.36,216.0,686.0,4.36,,,,,carnes y huevos
"Cuy, cobayo, carne, cruda","Guinea pig, meat, raw",90.4,19.0,1.6,0.0,,,,,,29.0,253.0,1.9,,,,,,,,carnes y huevos
"Ganso, domesticado, carne con piel, crudo","Goose, domesticated, meat with skin, raw",366.02,15.86,33.62,0.0,0.0,9.78,17.77,3.76,80.0,12.0,234.0,2.5,308.0,73.0,1.72,4.0,17.0,4.0,0.34,carnes y huevos
"Huevo de codorniz, entero, fresco, crudo","Egg, quail, whole, fresh, raw",153.65,13.05,11.09,0.41,0.0,3.56,4.32,1.32,844.0,64.0,226.0,3.65,132.0,141.0,1.47,0.0,156.0,66.0,1.58,carnes y huevos
"Huevo de gallina, clara, cruda","Egg, white, raw",48.05,10.9,0.17,0.73,0.0,0.0,0.0,0.0,0.0,7.0,15.0,0.08,163.0,166.0,0.03,0.0,0.0,4.0,0.09,carnes y huevos
"Huevo de gallina, de campo, crudo","Egg, whole, raw",138.71,12.56,9.51,0.72,0.0,3.13,3.66,1.91,372.0,56.0,198.0,1.75,138.0,142.0,1.29,0.0,160.0,47.0,0.89,carnes y huevos
"Huevo de gallina, entero, crudo","Egg, whole, fresh, raw",142.86,12.58,9.94,0.77,0.0,3.1,3.81,1.36,423.0,53.0,191.0,1.83,134.0,140.0,1.11,0.0,140.0,47.0,1.29,carnes y huevos
"Huevo de gallina, yema, cruda","Egg, yolk, raw",316.66,15.86,26.54,3.59,0.0,9.55,11.74,4.2,1234.0,129.0,390.0,2.73,109.0,48.0,2.3,0.0,381.0,146.0,1.95,carnes y huevos
Huevo de pata,"Eggs, duck",161.5,13.1,11.1,2.3,0.0,,,,,58.0,193.0,1.7,,,1.41,1.0,194.0,,,carnes y huevos
"Jamón, de cerdo, 8% grasa","Pork, ham, 8% fat",157.67,18.26,8.39,2.28,0.0,2.7,3.94,0.93,53.0,7.0,236.0,0.9,297.0,1278.0,2.05,0.0,0.0,3.0,0.8,carnes y huevos
"Jamón, de cerdo, tipo picnic, jamonada, fresco","Pork, ham, picnic type, fresh",228.48,14.92,16.64,4.76,0.0,6.07,7.68,1.89,38.0,47.0,125.0,1.02,267.0,1164.0,2.18,0.0,0.0,2.0,1.5,carnes y huevos
"Jamón, de pavo, fresco","Turkey, ham, fresh",141.9,18.7,7.22,0.53,0.0,2.02,2.5,1.74,43.0,40.0,183.0,1.28,251.0,489.0,1.56,0.0,0.0,4.0,0.24,carnes y huevos
"Jamón, de pollo, fresco","Chicken ham, fresh",154.3,19.53,7.38,2.44,0.0,1.97,2.92,1.53,50.0,43.0,157.0,0.97,228.0,584.0,0.72,0.0,24.0,2.0,0.15,carnes y huevos
"Liebre, carne, cruda","Hare, meat, raw",129.0,21.0,5.0,0.0,,2.0,2.0,1.0,65.0,12.0,157.0,3.2,260.0,43.0,1.4,,,,10.0,carnes y huevos
"Llama, carne, fresca, cruda","Llama, meat, fresh, raw",130.5,22.5,3.3,2.7,,,,,,47.0,189.0,4.62,,,,,6.0,,,carnes y huevos
"Longaniza, de cerdo, cruda","Sausage, italian, pork, raw",384.3,7.7,38.3,2.2,,,,,,41.0,98.0,3.7,,,,2.0,,,,carnes y huevos
"Morcilla, moronga, con grasa","Blood sausage, with fat",179.2,13.8,12.8,2.2,,5.0,5.6,1.2,120.0,10.0,44.0,37.0,,,,2.0,20.0,,,carnes y huevos
"Mortadela tipo bologña, de cerdo","Bologna, pork",242.95,15.3,19.87,0.73,0.0,6.84,9.73,2.11,59.0,11.0,139.0,0.77,281.0,907.0,2.03,0.0,0.0,5.0,0.93,carnes y huevos
"Mortadela, de cerdo y res","Mortadella, beef and pork",306.19,16.37,25.39,3.05,0.0,9.51,11.38,3.12,56.0,18.0,97.0,1.4,163.0,1246.0,2.1,0.0,0.0,3.0,1.48,carnes y huevos
"Paloma, carne con piel, crudo","Squab, pigeon, meat with skin, raw",288.08,18.47,23.8,0.0,0.0,8.43,9.72,3.07,95.0,12.0,248.0,3.54,199.0,54.0,2.2,5.0,73.0,6.0,0.4,carnes y huevos
"Paté, de hígado, enlatado","Pate, liver, canned",458.84,11.4,43.84,4.67,0.0,14.45,25.61,0.84,150.0,70.0,200.0,5.5,138.0,697.0,0.92,0.0,1001.0,60.0,9.4,carnes y huevos
"Pato, de crianza, carne con piel, crudo","Breeding duck, meat with skin, raw",321.4,16.0,28.6,0.0,,9.67,11.52,3.36,84.0,15.0,188.0,1.8,204.0,59.0,1.86,0.0,63.0,,0.3,carnes y huevos
"Pavo, carne (pechuga), sin piel, cruda","Turkey, breast, meat with skin, raw",108.22,21.28,2.5,0.15,0.0,0.68,0.76,0.61,79.0,11.0,176.0,1.04,226.0,124.0,2.59,0.0,13.0,7.0,0.0,carnes y huevos
"Pepperoni, res y cerdo, crudo","Pepperoni, beef and pork, raw",460.08,20.35,40.28,4.04,1.5,16.09,19.04,2.63,118.0,21.0,176.0,1.44,315.0,1788.0,2.73,1.0,0.0,6.0,1.57,carnes y huevos
"Pollo, alas, con piel, a la parrilla, cocidas","Chicken, wings, with skin, broilers, cooked",242.5,22.78,16.82,0.0,0.0,4.71,6.6,3.58,70.0,12.0,121.0,1.13,139.0,67.0,1.63,0.0,40.0,3.0,0.18,carnes y huevos
"Pollo, alas, con piel, crudas","Chicken, wings, with skin, raw",217.05,18.33,15.97,0.0,0.0,4.48,6.35,3.39,77.0,12.0,132.0,0.95,156.0,73.0,1.33,1.0,44.0,4.0,0.32,carnes y huevos
"Pollo, corazón, crudo","Chicken, heart, raw",149.01,15.55,9.33,0.71,0.0,2.66,2.37,2.71,136.0,12.0,177.0,5.96,176.0,74.0,6.59,3.0,9.0,72.0,7.29,carnes y huevos
"Pollo, hígado, cocido","Chicken, liver, cooked",159.91,24.46,6.51,0.87,0.0,2.06,1.42,2.01,563.0,11.0,405.0,11.63,263.0,76.0,3.98,28.0,3981.0,578.0,16.85,carnes y huevos
"Pollo, hígado, crudo","Chicken, liver, raw",111.15,16.92,4.83,0.0,0.0,1.56,1.25,0.82,345.0,8.0,297.0,8.99,230.0,71.0,2.67,18.0,3296.0,588.0,16.58,carnes y huevos
"Pollo, molleja, cocida","Chicken, gizzard, cooked",145.68,30.39,2.68,0.0,0.0,0.67,0.53,0.35,370.0,17.0,189.0,3.19,179.0,56.0,4.42,0.0,0.0,5.0,1.04,carnes y huevos
"Pollo, molleja, cruda","Chicken, gizzard, cruda",89.18,17.66,2.06,0.0,0.0,0.53,0.51,0.36,240.0,11.0,148.0,2.49,237.0,69.0,272.0,4.0,19.0,5.0,1.21,carnes y huevos
"Pollo, muslos, sin piel, a la parrilla, cocido","Chicken, thighs, without skin, broiler, cooked",188.11,25.0,9.79,0.0,0.0,2.71,3.7,2.24,90.0,11.0,149.0,1.42,183.0,75.0,2.58,0.0,19.0,7.0,0.21,carnes y huevos
"Pollo, muslos, sin piel, a la parrilla, crudo","Chicken, thighs, without skin, broiler, raw",201.68,25.94,10.88,0.0,0.0,3.03,4.15,2.48,95.0,12.0,183.0,1.31,238.0,88.0,2.57,0.0,20.0,8.0,0.31,carnes y huevos
"Pollo, pechuga, con piel, cruda","Chicken, breast, with skin, raw",166.65,20.85,9.25,0.0,0.0,2.66,3.82,1.96,64.0,11.0,174.0,0.74,220.0,63.0,0.8,0.0,25.0,4.0,0.34,carnes y huevos
"Pollo, pechuga, sin piel, a la parrilla, cocida","Chicken, breast, without skin, broiler, cooked",143.19,28.98,3.03,0.0,0.0,0.85,1.03,0.66,77.0,13.0,165.0,0.88,187.0,63.0,0.97,0.0,6.0,3.0,0.23,carnes y huevos
"Pollo, pierna, con piel, a la parrilla, cocida","Chicken, leg, with skin, broilers, cooked",212.96,24.17,12.92,0.0,0.0,3.57,5.04,2.87,84.0,11.0,139.0,1.35,176.0,73.0,2.43,0.0,37.0,6.0,0.2,carnes y huevos
"Pollo, pierna, con piel, cruda","Chicken, leg, with skin, raw",181.68,18.15,12.12,0.0,0.0,3.41,4.89,2.65,83.0,10.0,149.0,1.01,198.0,79.0,1.77,3.0,37.0,11.0,0.32,carnes y huevos
"Res, carne alta en grasa, sin hueso, cruda","Beef, high in fat, boneless, raw",282.82,18.28,23.3,0.0,0.0,9.56,10.13,0.87,68.0,7.0,171.0,1.79,297.0,53.0,3.38,0.0,0.0,6.0,2.78,carnes y huevos
"Res, carne deshidratada, picante, Clintons","Beef meet, dehydrates, spicy, Clintons",305.0,50.0,5.0,15.0,0.0,2.5,,,95.0,,,,,1850.0,,,,,,carnes y huevos
"Res, carne magra, cruda","Beef, lean meet, raw",119.62,22.03,3.5,0.0,0.0,1.2,1.48,0.15,58.0,4.0,215.0,2.15,375.0,57.0,3.51,0.0,0.0,9.0,2.98,carnes y huevos
"Res, carne molida, alta en grasa, 7% grasa, cruda","Beef, ground, high fat, 7% fat, raw",248.8,17.2,20.0,0.0,0.0,7.58,8.85,0.52,71.0,18.0,158.0,1.94,270.0,66.0,4.18,0.0,4.0,7.0,2.14,carnes y huevos
"Res, carne molida, baja en grasa, 1-3% grasa, cruda","Beef, ground, low fat, 1- 3% fat, raw",114.92,21.98,3.0,0.0,0.0,1.48,1.13,0.22,60.0,8.0,203.0,2.44,357.0,66.0,5.21,0.0,4.0,4.0,2.26,carnes y huevos
"Res, carne molida, especial, 3-5% grasa, cruda","Beef, ground, special, 3-5% fat, raw",130.64,21.41,5.0,0.0,0.0,2.18,1.99,0.26,62.0,9.0,198.0,2.38,346.0,66.0,5.09,0.0,4.0,5.0,2.24,carnes y huevos
"Res, carne semigrasosa, cocida","Beef, semi-greasy, cooked",256.78,26.44,16.78,0.0,0.0,6.61,6.99,0.62,88.0,19.0,204.0,1.69,328.0,54.0,4.75,0.0,0.0,8.0,1.56,carnes y huevos
"Res, carne semigrasosa, sin hueso, cruda","Beef, semy-greasy, boneless, raw",229.07,18.68,17.15,0.0,0.0,6.91,7.42,0.63,66.0,7.0,177.0,1.91,306.0,58.0,3.75,0.0,0.0,6.0,2.95,carnes y huevos
"Res, carne, alta en grasa, con hueso, cruda","Beef, high fat meat, with bones, raw",282.55,16.75,23.95,0.0,0.0,9.88,10.32,0.86,70.0,9.0,159.0,1.77,278.0,55.0,3.79,,0.0,5.0,2.86,carnes y huevos
"Res, carne, seca y  curada","Beef, dried meat, salty",152.9,31.1,1.94,2.76,0.0,0.95,0.84,0.07,79.0,8.0,181.0,2.42,235.0,2790.0,4.93,0.0,0.0,10.0,1.59,carnes y huevos
"Res, cecina, carne seca, curada","Beef, dried meat, salty",299.7,64.8,4.5,0.0,,,,,,93.0,161.0,9.7,444.0,3471.0,5.24,0.0,0.0,,,carnes y huevos
"Res, corazón, cocido","Beef, heart, cooked",157.09,28.48,4.73,0.15,0.0,1.4,1.01,0.99,212.0,5.0,254.0,6.38,219.0,59.0,2.87,0.0,0.0,5.0,10.8,carnes y huevos
