Alimento,Nombre en Inglés,Energía calculada,Proteína,Grasa total,Carbohidratos,Fibra,AGS,AGM,AGPI,Colesterol,Calcio,Fósforo,Hierro,Potasio,Sodio,Zinc,Vitamina C,Vitamina A,Folatos,Vitamina B12,Tipo
"Galletas dulces, tipo wafle con relleno, promedio","Cookies, sugar wafers with cream filling, average",515.5,4.1,24.3,70.1,0.6,3.62,10.33,9.16,0.0,18.0,56.0,1.95,59.0,147.0,0.35,0.0,0.0,84.0,0.0,"cereales, tuberculos y platanos"
"Galletas, de agua, tipo saltinas, con sal, Soda","Cookies, crackers, saltines type, Soda",422.67,9.22,11.35,70.91,3.0,1.66,7.0,1.25,0.0,68.0,101.0,5.69,154.0,1072.0,0.83,0.0,0.0,215.0,0.0,"cereales, tuberculos y platanos"
"Galletas, de avena, promedio","Cookies, oatmeal, average",462.5,6.2,18.1,68.7,2.8,4.52,10.02,2.54,0.0,37.0,138.0,2.58,142.0,383.0,0.79,1.0,5.0,95.0,0.0,"cereales, tuberculos y platanos"
"Galletas, Melvas con chocolate, Delipan","Cookie, sweet, Melvas Type, Delipan",519.48,6.66,26.64,63.27,,16.65,8.33,3.33,36.63,,,0.03,,49.95,,,,,,"cereales, tuberculos y platanos"
"Galletas, orejas tradicionales, Delipan","Cookie, sweet, Oejas Type, traditional, Delipan",519.48,6.66,26.64,63.27,,13.32,9.99,3.33,29.97,,,,,299.7,,,,,,"cereales, tuberculos y platanos"
"Galletas, oreo, Nabisco","Cookies, oreo, Nabisco",493.54,4.78,21.5,70.23,3.2,4.14,3.17,0.82,,24.0,103.0,4.9,194.0,528.0,1.23,,3.0,30.0,0.02,"cereales, tuberculos y platanos"
"Galletas, original, con sal, Club Social","Cookies, original, with salt, Club Social",446.15,7.69,15.38,69.23,,5.77,7.69,0.0,0.0,,,,,769.23,,,,,,"cereales, tuberculos y platanos"
"Galletas, original, con sal, Ducales","Cookies, original, with salt, Ducales",477.78,7.41,18.52,70.37,0.0,7.41,7.41,1.85,0.0,,,,,666.67,,,,,,"cereales, tuberculos y platanos"
"Galletas, original, con sal, Salticas Mini","Cookies, original, with salt, Salticas Mini",486.67,10.0,20.0,66.67,,8.33,8.33,1.67,0.0,,,,,800.0,,,,,,"cereales, tuberculos y platanos"
"Galletas, tipo tango, promedio","Cookie, sweet, TangoType, average",484.0,4.0,20.0,72.0,4.0,12.0,,,0.0,,,,,160.0,,,,,,"cereales, tuberculos y platanos"
"Granola, en barra, Quinde","Granola, bar, Quinde",476.2,10.1,19.8,64.4,5.3,2.37,4.38,12.05,0.0,61.0,277.0,2.95,336.0,294.0,2.03,0.9,2.0,23.0,0.0,"cereales, tuberculos y platanos"
"Harina de amaranto, Camari","Amaranth flour, Camari",390.1,12.0,6.1,71.8,3.5,,,,,,530.0,0.0,,,,,,,,"cereales, tuberculos y platanos"
"Harina de cauca, de maíz blanco pilado, enriquecida","Cauca flour, maiz flour, enriched",359.49,8.48,1.65,77.68,7.4,0.22,0.41,0.71,0.0,5.0,84.0,4.13,,3.0,0.72,0.0,0.0,363.0,0.0,"cereales, tuberculos y platanos"
"Harina de cebada, machica",Barley flour,377.32,9.09,1.52,81.82,9.1,0.0,,,0.0,27.0,,0.03,327.0,0.0,,,,,0.0,"cereales, tuberculos y platanos"
Harina de centeno,Rye flour,363.45,9.39,1.77,77.49,14.6,0.2,0.21,0.77,0.0,24.0,207.0,2.12,340.0,3.0,1.99,0.0,0.0,19.0,0.0,"cereales, tuberculos y platanos"
"Harina de maíz, morada, negro/ azul","Maiz flour, purple, black/blue",364.6,7.3,3.4,76.2,,,,,,12.0,328.0,0.2,,,,2.1,8.0,,,"cereales, tuberculos y platanos"
"Harina de maíz, promedio, Maizabrosa","Maiz flour, average, Maizabrosa",360.1,8.5,1.7,77.7,7.4,,,,,110.0,84.0,2.9,162.0,3.0,0.7,0.0,662.0,,0.0,"cereales, tuberculos y platanos"
"Harina de trigo, integral","Wheat flour, whole-grain",358.9,13.8,2.1,71.2,11.4,0.4,0.3,1.1,0.0,48.0,390.0,4.0,500.0,3.0,3.4,0.0,0.0,49.0,0.0,"cereales, tuberculos y platanos"
"Harina de trigo, refinada, fortificada","Wheat flour, white, enriched",355.38,10.33,0.98,76.31,2.7,0.16,0.09,0.41,0.0,15.0,108.0,4.64,107.0,2.0,0.7,0.0,0.0,291.0,0.0,"cereales, tuberculos y platanos"
"Humitas de sal, Valle Lojano","Salt Humitas, Valle lojano",256.0,4.67,13.33,29.33,0.0,4.67,,,58.67,,,,,,,,,,,"cereales, tuberculos y platanos"
"Maicena, almidón de maíz",Cornstarch,346.6,0.6,0.2,85.6,0.9,0.01,0.02,0.03,0.0,8.0,16.0,,3.0,9.0,0.06,0.0,0.0,0.0,0.0,"cereales, tuberculos y platanos"
"Maíz amarillo, crudo","Maiz, yellow, raw",377.38,9.42,4.74,74.26,7.3,0.67,1.25,2.16,0.0,7.0,210.0,2.71,287.0,35.0,2.21,0.0,11.0,19.0,0.0,"cereales, tuberculos y platanos"
"Maíz amarillo, tipo chulpi","Maiz, yellow corn, chulpi type",366.4,7.7,5.2,72.2,,,,,,5.0,14.0,2.5,,,,2.0,7.0,310.0,,"cereales, tuberculos y platanos"
"Maíz amarillo, tostado","Maiz, yellow, toasted",468.32,,,,,,,,0.0,0.0,,1.2,,600.0,,0.0,0.0,,,"cereales, tuberculos y platanos"
"Maíz blanco, grano pilado o trillado, morocho, crudo","Maiz, white, threshed, raw",303.3,8.7,0.9,65.1,,,,,,4.0,71.0,2.0,,,,0.0,0.0,,,"cereales, tuberculos y platanos"
"Maíz blanco, tipo mote, sin pelar","Maiz, white, mote type, unpeeled",351.1,5.7,1.5,78.7,,,,,,9.0,166.0,4.4,,,,2.1,0.0,,,"cereales, tuberculos y platanos"
"Maíz canguil, dulce, de caramelo","Popcorn, sweet, caramel flavour",420.29,3.12,7.81,84.38,3.01,4.69,,,16.0,62.0,,2.25,452.0,281.0,,0.0,93.6,,,"cereales, tuberculos y platanos"
"Maíz canguil, con sal y aceite, Palomitas de maíz","Popcorn, air-popped, with salt and oil",517.7,9.0,28.1,57.2,10.0,4.89,8.17,13.42,0.0,10.0,250.0,2.78,225.0,884.0,2.64,0.0,1.0,17.0,0.0,"cereales, tuberculos y platanos"
"Maíz tostado, con chicharron, Kikos","Toasted corn, with chicharron, Kikos",503.33,23.33,23.33,50.0,,3.33,13.33,3.33,86.67,,,,,,,,,,,"cereales, tuberculos y platanos"
"Maíz y trigo, tortilla","Maiz, corn and wheat, tortilla",197.56,4.88,2.44,39.02,2.4,0.0,,,0.0,49.0,,0.88,,220.0,,0.0,0.0,,,"cereales, tuberculos y platanos"
"Maíz, negro/azul, grano entero, crudo","Maiz, black beans, whole grain, raw",377.38,9.42,4.74,74.26,,0.67,1.25,2.16,0.0,7.0,210.0,2.71,287.0,35.0,2.21,0.0,0.0,,0.0,"cereales, tuberculos y platanos"
"Maíz, tipo canguil, crudo","Maiz, popcorn, raw",403.74,12.94,4.54,77.78,14.5,0.64,0.95,2.32,0.0,7.0,358.0,3.19,329.0,8.0,3.08,0.0,10.0,31.0,0.0,"cereales, tuberculos y platanos"
"Maíz, tipo chulpi, picante, Las popis","Maiz, chulpi type, spicy chulpi corn, Las popis",506.67,10.0,26.67,56.67,3.33,6.67,10.0,10.0,,,,,,566.67,,,,,,"cereales, tuberculos y platanos"
"Maíz, tipo chulpi, sabor ají criollo, Dicorne","Maiz, chulpi type, spicy corn flavour, Dicorne",470.0,10.0,16.67,70.0,,3.33,6.67,8.33,0.0,,,,,500.0,,,,,,"cereales, tuberculos y platanos"
"Maíz, tipo tostado, picante, La Quiteña","Maiz, tostado type, spicy roasted corn, La Quiteña",486.67,6.67,20.0,70.0,0.0,5.0,6.67,6.67,0.0,,,,,416.67,,,,,,"cereales, tuberculos y platanos"
"Maíz, tortilla de maíz amarillo, asada","Maiz, yellow corn, tortilla, roasted",143.8,2.7,0.6,31.9,,,,,,26.0,17.0,1.0,,,,,,,,"cereales, tuberculos y platanos"
"Maíz, tortillas de maíz, artesanales, Taconazo","Maiz, corn tortillas, handmade, Taconazo",256.67,6.67,3.33,50.0,,0.0,0.0,0.0,,,,,,0.0,,,,,,"cereales, tuberculos y platanos"
"Mote pillo, maíz blanco cocido, huevo, frito, comercialmente preparado, con sal","Mote pillo, cooked white maize, scrambled eggs, salt, fried, commercially prepared",157.15,2.35,7.31,20.49,,,,,,9.0,66.0,0.7,60.0,264.0,0.44,,,,,"cereales, tuberculos y platanos"
"Mote sucio, maíz blanco cocido, manteca negra de cerdo, chicharrón, frito, comercialmente preparado","Mote sucio, cooked white maize, black lard, pork cracklings, fried, commercially prepared",157.54,,7.18,23.23,,,,,,26.0,233.0,1.93,304.0,720.0,1.59,,,,,"cereales, tuberculos y platanos"
"Pan de centeno, tostado","Bread, rye, toasted",282.4,9.4,3.6,53.1,6.4,0.69,1.44,0.87,0.0,80.0,138.0,3.1,183.0,664.0,1.25,0.2,0.0,148.0,0.0,"cereales, tuberculos y platanos"
"Pan, blanco, rodaja, cuadrado, suave, Supan","Bread, white, slice, soft, Supan",262.61,7.64,3.29,50.61,2.4,0.72,0.68,1.36,0.0,151.0,99.0,3.74,100.0,681.0,0.74,0.0,0.0,171.0,0.0,"cereales, tuberculos y platanos"
"Pan, blanco, rodaja, cuadrado, tostado, Supan","Bread, white, slice, toasted, Supan",289.6,9.0,4.0,54.4,2.5,0.58,0.8,2.09,1.0,119.0,103.0,3.33,1.31,592.0,0.68,0.0,0.0,159.0,0.02,"cereales, tuberculos y platanos"
"Pan, blanco, tipo pita","Bread, pita, white, enriched",270.0,9.1,1.2,55.7,2.2,0.17,0.1,0.54,0.0,86.0,97.0,1.4,120.0,536.0,0.84,0.0,0.0,24.0,0.0,"cereales, tuberculos y platanos"
"Pan, de bizcocho, horneado, comercialmente preparado","Bread, biscuit, baked, commercially prepared",345.7,7.5,6.5,64.3,,,,,,7.0,54.0,1.79,84.0,387.0,0.69,,,,,"cereales, tuberculos y platanos"
"Pan, de cachos, horneado, comercialmente preparado","Bread, croissant, baked, commercially prepared",332.0,9.5,6.8,58.2,,,,,,7.0,18.0,1.57,57.0,298.0,0.61,,,,,"cereales, tuberculos y platanos"
"Pan, de caracol, dulce, horneado, comercialmente preparado","Bread, snail, sweet, baked, commercially prepared",310.2,7.1,5.8,57.4,,,,,,16.0,77.0,2.7,79.0,47.0,0.64,,,,,"cereales, tuberculos y platanos"
"Pan, de centeno","Bread, rye",256.7,9.2,0.7,53.4,5.8,0.63,1.31,0.8,0.0,38.0,178.0,2.8,166.0,660.0,1.14,0.0,0.0,151.0,0.0,"cereales, tuberculos y platanos"
"Pan, de chocolate, horneado, comercialmente preparado","Bread, chocolate, baked, commercially prepared",327.4,8.8,5.8,60.0,,,,,,67.0,89.0,1.02,66.0,384.0,0.93,,,,,"cereales, tuberculos y platanos"
"Pan, de germen de trigo/trigo entero","Bread, wheat germ",252.14,12.45,3.5,42.71,6.0,0.72,0.62,1.59,0.0,161.0,212.0,2.47,254.0,455.0,1.77,0.0,0.0,42.0,0.0,"cereales, tuberculos y platanos"
"Pan, de leche, horneado, comercialmente preparado","Bread, milk, baked, commercially prepared",346.6,8.9,7.4,61.1,,,,,,38.0,161.9,1.55,79.0,297.0,0.66,,,,,"cereales, tuberculos y platanos"
"Pan, de maíz, horneado, comercialmente preparado","Bread, corn, baked, commercially prepared",317.2,8.6,3.6,62.6,,,,,,21.0,72.0,1.86,71.0,334.0,0.97,,,,,"cereales, tuberculos y platanos"
"Pan, de salvado de trigo, tipo bagel","Bread, wheat bran, bagel",250.13,10.2,1.53,48.89,4.1,0.0,0.29,0.94,0.0,20.0,142.0,2.76,175.0,439.0,1.1,0.0,0.0,76.0,0.0,"cereales, tuberculos y platanos"
"Pan, de trigo","Bread, wheat",273.61,10.67,4.53,47.54,4.0,0.69,0.61,1.61,0.0,125.0,141.0,3.6,141.0,473.0,1.04,0.2,0.0,99.0,0.0,"cereales, tuberculos y platanos"
"Pan, de trigo, tostado","Bread, wheat, toasted",313.35,12.96,4.27,55.77,4.7,0.99,1.02,1.72,0.0,165.0,223.0,4.09,223.0,601.0,1.47,0.2,0.0,100.0,0.0,"cereales, tuberculos y platanos"
"Pan, de yemas, con sal, horneado, comercialmente preparado","Bread, egg yolk, salt, baked, commercially prepared",304.8,9.2,4.0,58.0,,,,,,9.0,169.0,7.94,152.0,90.0,1.69,,,,,"cereales, tuberculos y platanos"
"Pan, de yuca","Bread, cassava",301.25,7.5,11.25,42.5,0.0,6.25,,,50.0,150.0,,0.0,,875.0,,0.0,75.0,,,"cereales, tuberculos y platanos"
"Pan, empanada, dulce, horneado, comercialmente preparado","Bread, empanada, sweet, baked, commercially prepared",342.4,8.6,7.2,60.8,,,,,,49.0,90.0,1.43,70.0,206.0,0.7,,,,,"cereales, tuberculos y platanos"
"Pan, empanada, sal, horneado, comercialmente preparado","Bread, empanada, salt, baked, commercially prepared",338.3,9.3,7.1,59.3,,,,,,60.0,103.0,1.66,81.0,395.0,0.92,,,,,"cereales, tuberculos y platanos"
"Pan, enquesillado, rodillas de cristo, horneado, comercialmente preparado","Bread, topped cheese, baked, commercially prepared",345.1,9.7,8.3,57.9,,,,,,12.0,55.0,7.21,183.0,171.0,2.49,,,,,"cereales, tuberculos y platanos"
"Pan, integral, de trigo","Bread, whole-wheat, ordinary",253.55,12.3,3.55,43.1,6.0,0.73,0.62,1.61,,163.0,212.0,2.56,250.0,450.0,1.76,,,42.0,,"cereales, tuberculos y platanos"
"Pan, integral, de trigo, tostado","Bread, whole-wheat, ordinary, toasted",306.35,16.27,4.07,51.16,7.5,0.92,1.97,0.74,0.0,130.0,303.0,2.96,326.0,565.0,2.15,0.0,0.0,52.0,0.0,"cereales, tuberculos y platanos"
"Pan, integral, rodaja, cuadrado, suave","Bread, whole-wheat, slice, soft",261.0,9.7,4.2,46.1,6.9,0.92,1.68,1.0,0.0,72.0,229.0,3.3,252.0,527.0,1.94,0.0,0.0,50.0,0.01,"cereales, tuberculos y platanos"
